our_code,our_label,our_status,our_ziel,s_sheet,s_row,s_label,s_status_value,s_ziel_value,s_status_formula,s_ziel_formula,d_status_ref,d_ziel_ref,label_overlap,status_match,status_scale,ziel_match,ziel_scale,confidence
4.1.1.1,Nutzbare Forstfläche,9866633.0,9373000.0,2. Erneuerbare,51,Nutzbare Forstfläche,9866633,9373000,=AP51,"=IF(P51="""",AQ51,P51)",,,1.0,True,1.0,True,1.0,HIGH
4.1.1.1.1,Energet. genutzter Anteil am Zuwachs,53.6,33.2,2. Erneuerbare,52,*,53.62904409218901,33.241067207024656,=AT52,"=IF(P52="""",AU52,P52)",,,0.0,True,1.0,True,1.0,HIGH
4.1.1.1.1.1,Energieertrag,22.71,22.728,2. Erneuerbare,53,*,22.7,22.7,=AT53,"=IF(P53="""",AU53,P53)",,,0.0,True,1.0,True,1.0,HIGH
4.1.1.1.1.2,Energieholzaufkommen,120102.18219047999,70725.808608,2. Erneuerbare,54,Energieholzaufkommen,120114.3478370475,70726.05470543735,=L51*L52%*L53/1000,=M51*M52%*M53/1000,,,1.0,True,1.0,True,1.0,HIGH
4.1.2,"Aus Ackerbau (KUP, Miscanthus usw.)",11200.0,11200.0,2. Erneuerbare,57,Anbaufläche,11200,11200,=AP57,"=IF(P57="""",AQ57,P57)",,,0.0,True,1.0,True,1.0,HIGH
4.1.2.1,Anbaufläche,11200.0,11200.0,2. Erneuerbare,57,Anbaufläche,11200,11200,=AP57,"=IF(P57="""",AQ57,P57)",,,1.0,True,1.0,True,1.0,HIGH
4.1.2.1.1,Energieertrag,29.9,51.4,2. Erneuerbare,58,*,29.877260981912144,51.388888888888886,=AT58,"=IF(P58="""",AU58,P58)",,,0.0,True,1.0,True,1.0,HIGH
4.1.2.1.2,Energieholzaufkommen,334.88,575.68,2. Erneuerbare,59,Energieholzaufkommen,334.625322997416,575.5555555555555,=L57*L58/1000,=M57*M58/1000,,,1.0,True,1.0,True,1.0,HIGH
4.1.3,Energieholzaufkommen gesamt,120437.06219047999,71301.488608,2. Erneuerbare,61,Energieholzaufkommen gesamt,120448.97316004492,71301.61026099291,=L54+L59,=M54+M59,,,1.0,True,1.0,True,1.0,HIGH
4.1.3.1,davon für Gebäudewärme,73.3,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,0.0001,True,1.0,HIGH
4.1.3.2,davon für Prozesswärme,21.300000000000004,100.0,2. Erneuerbare,63,*,21.33447833119341,100,=AT63,=100-M62-M64-M65,,,0.0,True,1.0,True,1.0,HIGH
4.1.3.3,davon für Verstromung,5.4,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,0.001,True,1.0,HIGH
4.1.3.4,davon für Wärmenetze GW,0.0,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.6,True,1.0,True,1.0,HIGH
