our_code,our_label,status_ours,ziel_ours,excel_row,excel_label,status_col,status_excel,ziel_col,ziel_excel,confidence,notes
9.1.4,Stromwandlung / Stromwandlung,39572.18042457148,4525.0,,,,,,,LOW,no value+label match
9.2,Stromwandlung / Stromwandlung,256726.09350785078,1941430.032365274,,,,,,,LOW,no value+label match
9.2.1,Stromwandlung / Stromwandlung,0.0,418893.192987624,,,,,,,LOW,no value+label match
9.2.1.1,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.2.1.1.1,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.2.1.1.1.1,Stromwandlung / Stromwandlung,80.0,80.0,614,- ZIEL-Ansatz: Aus einem breiten Spektrum von Einschätzungen wird hier ein optim,W,80.0,W,80.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.2.1.1.2,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.2.1.2,Stromwandlung / Stromwandlung,0.0,21.912630481179804,,,,,,,LOW,no value+label match
9.2.1.2.1,Stromwandlung / Stromwandlung,0.0,80.0,,,,,,,LOW,no value+label match
9.2.1.2.2,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.2.1.3,Stromwandlung / Stromwandlung,0.0,95329.79999999999,,,,,,,LOW,no value+label match
9.2.1.3.1,Stromwandlung / Stromwandlung,0.0,63.0,,,,,,,LOW,no value+label match
9.2.1.3.2,Stromwandlung / Stromwandlung,0.0,151317.14285714284,,,,,,,LOW,no value+label match
9.2.1.4,Stromwandlung / Stromwandlung,0.0,76544.15,,,,,,,LOW,no value+label match
9.2.1.4.1,Stromwandlung / Stromwandlung,0.0,80.0,,,,,,,LOW,no value+label match
9.2.1.4.2,Stromwandlung / Stromwandlung,0.0,95680.18749999999,,,,,,,LOW,no value+label match
9.2.1.5,Stromwandlung / Stromwandlung,0.0,246997.33035714284,,,,,,,LOW,no value+label match
9.2.1.5.1,Stromwandlung / Stromwandlung,0.0,64.0,,,,,,,LOW,no value+label match
9.2.1.5.2,Stromwandlung / Stromwandlung,0.0,385933.3286830357,,,,,,,LOW,no value+label match
9.2.1.5.2.1,Stromwandlung / Stromwandlung,0.0,385933.3286830357,,,,,,,LOW,no value+label match
9.2.1.5.2.2,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.3,Stromspeicherung / Stromwandlung,0.0,844033.3254470965,,,,,,,LOW,no value+label match
9.3.1,Stromwandlung / Stromwandlung,0.0,406403.3340795594,,,,,,,LOW,no value+label match
9.3.1.1,Stromspeicherung / Stromwandlung,0.0,38.0,,,,,,,LOW,no value+label match
9.3.1.2,Stromwandlung / Stromwandlung,0.0,154433.26695023256,,,,,,,LOW,no value+label match
9.3.2,Stromwandlung / Stromwandlung,0.0,12.7,,,,,,,LOW,no value+label match
9.3.2.1,Stromwandlung / Stromwandlung,0.0,51613.223428104044,,,,,,,LOW,no value+label match
9.3.3,Stromspeicherung / Stromwandlung,0.0,241727.0,,,,,,,LOW,no value+label match
9.3.4,Stromwandlung / Stromwandlung,0.0,195890.29136753705,,,,,,,LOW,no value+label match
9.4,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,LOW,no value+label match
9.4.1,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,LOW,no value+label match
9.4.2,Stromwandlung / Stromwandlung,0.0,0.0,284,"- ZIEL-Ansatz: Energieholz für Gebäudewärme (Kamine, Öfen, Kessel) erscheinen fü",W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
9.4.3,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,LOW,no value+label match
9.4.3.1,Stromwandlung / Stromwandlung,5.5,9.2,,,,,,,LOW,no value+label match
