our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
8.2,Geothermie / Tiefengeothermie,1797.0,12000.0,578,W,1,- STATUS-Ansatz: Die Bereitstellung von Gebäudewär,,,,,MED
9,Stromspeicherung / Stromwandlung,,,,,,,,,,,ZERO
9.1,Stromwandlung / Stromwandlung,256726.09350785078,1941430.032365274,,,,,,,,,LOW
9.1.1,Stromwandlung / Stromwandlung,135042.22824137931,706236.3411426758,,,,,,,,,LOW
9.1.2,Stromwandlung / Stromwandlung,62424.168584,1211176.171964698,,,,,,,,,LOW
9.1.3,Stromwandlung / Stromwandlung,19687.5162579,19492.5192579,,,,,,,,,LOW
9.1.4,Stromwandlung / Stromwandlung,39572.18042457148,4525.0,,,,,,,,,LOW
9.2,Stromwandlung / Stromwandlung,256726.09350785078,1941430.032365274,,,,,,,,,LOW
9.2.1,Stromwandlung / Stromwandlung,0.0,418893.192987624,,,,,,,,,LOW
9.2.1.1,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.2.1.1.1,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.2.1.1.1.1,Stromwandlung / Stromwandlung,80.0,80.0,,,,,,,,,LOW
9.2.1.1.2,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.2.1.2,Stromwandlung / Stromwandlung,0.0,21.912630481179804,,,,,,,,,LOW
9.2.1.2.1,Stromwandlung / Stromwandlung,0.0,80.0,,,,,,,,,LOW
9.2.1.2.2,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.2.1.3,Stromwandlung / Stromwandlung,0.0,95329.79999999999,,,,,,,,,LOW
9.2.1.3.1,Stromwandlung / Stromwandlung,0.0,63.0,,,,,,,,,LOW
9.2.1.3.2,Stromwandlung / Stromwandlung,0.0,151317.14285714284,,,,,,,,,LOW
9.2.1.4,Stromwandlung / Stromwandlung,0.0,76544.15,,,,,,,,,LOW
9.2.1.4.1,Stromwandlung / Stromwandlung,0.0,80.0,,,,,,,,,LOW
9.2.1.4.2,Stromwandlung / Stromwandlung,0.0,95680.18749999999,,,,,,,,,LOW
9.2.1.5,Stromwandlung / Stromwandlung,0.0,246997.33035714284,,,,,,,,,LOW
9.2.1.5.1,Stromwandlung / Stromwandlung,0.0,64.0,,,,,,,,,LOW
9.2.1.5.2,Stromwandlung / Stromwandlung,0.0,385933.3286830357,,,,,,,,,LOW
9.2.1.5.2.1,Stromwandlung / Stromwandlung,0.0,385933.3286830357,,,,,,,,,LOW
9.2.1.5.2.2,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.3,Stromspeicherung / Stromwandlung,0.0,844033.3254470965,,,,,,,,,LOW
9.3.1,Stromwandlung / Stromwandlung,0.0,406403.3340795594,,,,,,,,,LOW
9.3.1.1,Stromspeicherung / Stromwandlung,0.0,38.0,,,,,,,,,LOW
9.3.1.2,Stromwandlung / Stromwandlung,0.0,154433.26695023256,,,,,,,,,LOW
9.3.2,Stromwandlung / Stromwandlung,0.0,12.7,,,,,,,,,LOW
9.3.2.1,Stromwandlung / Stromwandlung,0.0,51613.223428104044,,,,,,,,,LOW
9.3.3,Stromspeicherung / Stromwandlung,0.0,241727.0,,,,,,,,,LOW
9.3.4,Stromwandlung / Stromwandlung,0.0,195890.29136753705,,,,,,,,,LOW
9.4,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,,,LOW
9.4.1,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,,,LOW
9.4.2,Stromwandlung / Stromwandlung,0.0,0.0,,,,,,,,,ZERO
9.4.3,Stromwandlung / Stromwandlung,256726.09392385077,1107646.315348871,,,,,,,,,LOW
9.4.3.1,Stromwandlung / Stromwandlung,5.5,9.2,,,,,,,,,LOW
9.4.3.2,Stromspeicherung / Stromwandlung,14119.935165811794,101903.46101209613,,,,,,,,,LOW
9.4.3.3,Stromwandlung / Stromwandlung,242606.15875803898,1005742.8543367749,,,,,,,,,LOW
10,Erneuerbare Quellen / Endenergie,,,,,,,,,,,ZERO
10.1,Erneuerbare Quellen / Endenergie,391499.46025213203,1863869.0257823425,,,,,,,,,LOW
10.2,Erneuerbare Quellen / Endenergie,242606.15875803898,1005742.8543367749,,,,,,,,,LOW
10.2.1,Erneuerbare Quellen / Endenergie,461869.2220968377,1005742.8543367754,,,,,,,,,LOW
10.2.2,Erneuerbare Quellen / Endenergie,52.52702435044979,99.99999999999996,,,,,,,,,LOW
10.3,Erneuerbare Quellen / Endenergie,172995.4884722678,312753.29999999993,,,,,,,,,LOW
10.3.1,Erneuerbare Quellen / Endenergie,172995.4884722678,312753.29999999993,,,,,,,,,LOW
10.4,Erneuerbare Quellen / Endenergie,105664.95064129012,672112.3905601414,,,,,,,,,LOW
10.4.1,Erneuerbare Quellen / Endenergie,88453.6052475208,0.0,,,,,,,,,LOW
10.4.1.1,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.4.1.2,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.4.1.3,Erneuerbare Quellen / Endenergie,88453.6052475208,0.0,,,,,,,,,LOW
10.4.2,Erneuerbare Quellen / Endenergie,0.0,534161.9572712373,,,,,,,,,LOW
10.4.3,Erneuerbare Quellen / Endenergie,17211.345393769323,137950.43328890414,,,,,,,,,LOW
10.5,Erneuerbare Quellen / Endenergie,63273.416894164184,490263.8743195712,,,,,,,,,LOW
10.5.1,Erneuerbare Quellen / Endenergie,25653.094246572244,132746.51333457025,,,,,,,,,LOW
10.5.1.1,Erneuerbare Quellen / Endenergie,0.0,17154.151106885245,,,,,,,,,LOW
10.5.1.2,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.5.1.3,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.5.1.4,Erneuerbare Quellen / Endenergie,25653.094246572244,115592.362227685,,,,,,,,,LOW
10.5.2,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.5.3,Erneuerbare Quellen / Endenergie,37620.32264759194,357517.36098500097,,,,,,,,,LOW
10.6,Erneuerbare Quellen / Endenergie,49565.604244409915,388739.4609026299,,,,,,,,,LOW
10.6.1,Erneuerbare Quellen / Endenergie,34786.602,191217.70083976,252,W,0.001,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,,,,,MED
10.6.1.1,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
10.6.1.2,Erneuerbare Quellen / Endenergie,1085.7420000000002,91585.30083975999,255,AN,0.001,Auf Hinweis aus dem Nds. Landwirtschaftsministeriu,,,,,MED
10.6.1.3,Erneuerbare Quellen / Endenergie,33700.86,99632.4,252,W,0.001,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,,,,,MED
10.6.2,Erneuerbare Quellen / Endenergie,14779.00224440992,197521.76006286987,782,W,0.0001,Obwohl so zur Erreichung der Klimaziele mehr erneu,,,,,MED
10.7,Erneuerbare Quellen / Endenergie,148893.30149409303,323964.21417433023,,,,,252,W,0.0001,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,MED
10.7.1,Erneuerbare Quellen / Endenergie,0.0,0.0,,,,,,,,,ZERO
