table,key,category,formula_type,ws_row_type,is_fixed,expression,description
Formula,6.2,renewable,status,all,True,,Bioethanol
Formula,6.2.1,renewable,status,all,False,LandUse_LU_2.2.4,Anbaufläche Energiepflanzen für Bioethanol
Formula,6.2.1.1,renewable,status,all,True,,Bioethanol – Energieertrag (brutto)
Formula,6.2.1.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.2.1.1: Bioethanol – Energieertrag (brutto)
Formula,6.2.1.2,renewable,status,all,False,Renewable_6_2_1 * Renewable_6_2_1_1 / 1000,"Bioethanol aus eigenem Anbau
Bioethanol from domestic cultivation"
Formula,6.2.1.2_ziel_target,renewable,ziel,all,False,Renewable_6_2_1 * Renewable_6_2_1_1 / 1000,"Ziel formula for 6.2.1.2: Bioethanol aus eigenem Anbau
Bioethanol from domestic cultivation"
Formula,6.2.1_ziel_target,renewable,ziel,all,False,LandUse_LU_2.2.4,Ziel formula for 6.2.1: Anbaufläche Energiepflanzen für Bioethanol
Formula,6.2.2,renewable,status,all,True,,Bioethanol aus Import (+) / Export (-)
Formula,6.2.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.2.2: Bioethanol aus Import (+) / Export (-)
Formula,6.2.3,renewable,status,all,False,Renewable_6_2_1_2 + Renewable_6_2_2,"Bioethanol gesamt – Mobile Anwendungen
Total bioethanol for mobile applications"
Formula,6.2.3_ziel_target,renewable,ziel,all,False,Renewable_6_2_1_2 + Renewable_6_2_2,"Ziel formula for 6.2.3: Bioethanol gesamt – Mobile Anwendungen
Total bioethanol for mobile applications"
Formula,6.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 6.2: Bioethanol
Formula,6_ziel_target,renewable,ziel,all,True,,Ziel formula for 6: Biogene Brennstoffe (flüssig)
Formula,7,renewable,status,all,True,,Umgebungswärme (Wärmepumpe)
Formula,7.1,renewable,status,all,False,Verbrauch_2_9_2,"Wärmepumpen-Antriebsstromaufnahme
Heat pump electricity consumption from VerbrauchData"
Formula,7.1.1,renewable,status,all,True,,davon Anlagen mit Luftkopplung
Formula,7.1.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.1: davon Anlagen mit Luftkopplung
Formula,7.1.2,renewable,status,all,False,Renewable_7_1 * Renewable_7_1_1 / 100,"WP-Luft – Antriebsstromaufnahme
Air-source heat pump electricity consumption"
Formula,7.1.2.1,renewable,status,all,True,,WP-Luft – Jahresarbeitszahl
Formula,7.1.2.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.2.1: WP-Luft – Jahresarbeitszahl
Formula,7.1.2.2,renewable,status,all,False,Renewable_7_1_2 * Renewable_7_1_2_1,"Nutzwärme (inkl. Antriebsstrom)
Useful heat from air-source HP (incl. electricity)"
Formula,7.1.2.2_ziel_target,renewable,ziel,all,False,Renewable_7_1_2 * Renewable_7_1_2_1,"Ziel formula for 7.1.2.2: Nutzwärme (inkl. Antriebsstrom)
Useful heat from air-source HP (incl. electricity)"
Formula,7.1.2.3,renewable,status,all,False,Renewable_7_1_2_2 - Renewable_7_1_2,"davon Wärmgewinn aus der Luft
Heat gain from ambient air"
Formula,7.1.2.3_ziel_target,renewable,ziel,all,False,Renewable_7_1_2_2 - Renewable_7_1_2,"Ziel formula for 7.1.2.3: davon Wärmgewinn aus der Luft
Heat gain from ambient air"
Formula,7.1.2_target,renewable,ziel,all,False,Renewable_7_1_ziel * Renewable_7_1_1_ziel / 100,"Ziel formula for 7.1.2: WP-Luft – Antriebsstromaufnahme
Air-source heat pump electricity consumption"
Formula,7.1.3,renewable,status,all,True,,davon Anlagen mit Erdreich-/Wasserkopplung
Formula,7.1.3_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.3: davon Anlagen mit Erdreich-/Wasserkopplung
Formula,7.1.4,renewable,status,all,False,Renewable_7_1 * Renewable_7_1_3 / 100,"WP-Erdr./Wasser – Antriebsstromaufnahme
Ground/water-source HP electricity consumption"
Formula,7.1.4.1,renewable,status,all,True,,WP-Erdr./Wasser – Jahresarbeitszahl
Formula,7.1.4.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.4.1: WP-Erdr./Wasser – Jahresarbeitszahl
Formula,7.1.4.2,renewable,status,all,False,Renewable_7_1_4 * Renewable_7_1_4_1,Nutzwärme (inkl. Antriebsstrom)
Formula,7.1.4.2_ziel_target,renewable,ziel,all,False,Renewable_7_1_4 * Renewable_7_1_4_1,Ziel formula for 7.1.4.2: Nutzwärme (inkl. Antriebsstrom)
Formula,7.1.4.3,renewable,status,all,False,Renewable_7_1_4_2 - Renewable_7_1_4,davon Wärmgewinn Erdreich/Grundwasser
Formula,7.1.4.3.1,renewable,status,all,True,,Wärmeertrag Erdreich/Grundwasser
Formula,7.1.4.3.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.4.3.1: Wärmeertrag Erdreich/Grundwasser
Formula,7.1.4.3.2,renewable,status,all,False,Renewable_7_1_4_3 * 1000 / Renewable_7_1_4_3_1,"Beanspruchte Entzugsfläche
Required extraction area"
Formula,7.1.4.3.2_ziel_target,renewable,ziel,all,False,Renewable_7_1_4_3 * 1000 / Renewable_7_1_4_3_1,"Ziel formula for 7.1.4.3.2: Beanspruchte Entzugsfläche
Required extraction area"
Formula,7.1.4.3.3,renewable,status,all,False,LandUse_LU_1,Gebäude- & Freifläche (Siedlung)
Formula,7.1.4.3.3_ziel_target,renewable,ziel,all,False,LandUse_LU_1,Ziel formula for 7.1.4.3.3: Gebäude- & Freifläche (Siedlung)
Formula,7.1.4.3.4,renewable,status,all,True,,Anteil beanspruchter Siedlungsfläche
Formula,7.1.4.3.4_ziel_target,renewable,ziel,all,True,,Ziel formula for 7.1.4.3.4: Anteil beanspruchter Siedlungsfläche
Formula,7.1.4.3_ziel_target,renewable,ziel,all,False,Renewable_7_1_4_2 - Renewable_7_1_4,Ziel formula for 7.1.4.3: davon Wärmgewinn Erdreich/Grundwasser
Formula,7.1.4_ziel_target,renewable,ziel,all,False,Renewable_7_1 * Renewable_7_1_3 / 100,"Ziel formula for 7.1.4: WP-Erdr./Wasser – Antriebsstromaufnahme
Ground/water-source HP electricity consumption"
