sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
4. Verbrauch,83,G,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Wärme (30-100°C,verlustarm nutzbar)",16.72123810040408,79.50066097332919,% v. [75],1.804,4. Verbrauch!L83,4. Verbrauch!M83
4. Verbrauch,84,H,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Wärme (30-100°C,verlustarm nutzbar) / Endenergieverbrauch",133580.49552011892,527517.7575261146,GWh/a,,4. Verbrauch!L84,4. Verbrauch!M84
4. Verbrauch,85,,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Wärme (30-100°C,verlustarm nutzbar) / Endenergieverbrauch",,,,,4. Verbrauch!L85,4. Verbrauch!M85
4. Verbrauch,86,G,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Strom (verlustarm nutzb.)",4.11544947990825,20.49933902667081,% v. [75],1.799,4. Verbrauch!L86,4. Verbrauch!M86
4. Verbrauch,87,H,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Strom (verlustarm nutzb.) / Endenergieverbrauch",32876.978218549186,136021.07481527407,GWh/a,,4. Verbrauch!L87,4. Verbrauch!M87
4. Verbrauch,88,H,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Strom (verlustarm nutzb.) / davon für Wärmepumpen",30.744918017730317,100,%,,4. Verbrauch!L88,4. Verbrauch!M88
4. Verbrauch,89,,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Strom (verlustarm nutzb.) / davon für Wärmepumpen",10108,136021.07481527407,GWh/a,1.519,4. Verbrauch!L89,4. Verbrauch!M89
4. Verbrauch,90,,"+ / Bedarfsniveau (Sanierung, Anwendungseff.) / davon Strom (verlustarm nutzb.) / davon für Wärmepumpen",,,,,4. Verbrauch!L90,4. Verbrauch!M90
4. Verbrauch,91,F,+ / Endenergieverbrauch GW gesamt,798867.2532382088,663538.8323413887,GWh/a,,4. Verbrauch!L91,4. Verbrauch!M91
4. Verbrauch,92,,+ / Endenergieverbrauch GW gesamt,,,,,4. Verbrauch!L92,4. Verbrauch!M92
4. Verbrauch,93,E,Prozesswärme (PW),,,,,4. Verbrauch!L93,4. Verbrauch!M93
4. Verbrauch,94,F,Prozesswärme (PW) / Bedarfsniveau (statisch),555394.5695538963,555394.5695538963,GWh/a,,4. Verbrauch!L94,4. Verbrauch!M94
