sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
2. Erneuerbare,127,,Biogene Brennstoffe (flüssig) / + / Biodiesel aus eigenem Anbau,,,,,2. Erneuerbare!L127,2. Erneuerbare!M127
2. Erneuerbare,128,F,Biogene Brennstoffe (flüssig) / + / Biodiesel aus Import (+) / Export (-),13402.583333333332,0,GWh/a,1.458,2. Erneuerbare!L128,2. Erneuerbare!M128
2. Erneuerbare,129,G,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen,25206.333333333332,4302.6,GWh/a,,2. Erneuerbare!L129,2. Erneuerbare!M129
2. Erneuerbare,130,H,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für mobile Anwendungen,99.07430672185562,100,%,1.472,2. Erneuerbare!L130,2. Erneuerbare!M130
2. Erneuerbare,131,I,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für mobile Anwendungen / Biokraftstoff (flüssig),24973,4302.6,GWh/a,,2. Erneuerbare!L131,2. Erneuerbare!M131
2. Erneuerbare,132,,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für mobile Anwendungen / Biokraftstoff (flüssig),,,,,2. Erneuerbare!L132,2. Erneuerbare!M132
2. Erneuerbare,133,H,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung,0.9256932781443816,0,%,1.477,2. Erneuerbare!L133,2. Erneuerbare!M133
2. Erneuerbare,134,I,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung / Nutzungsgrad Blockheizkraftwerk,39,39,%,1.482,2. Erneuerbare!L134,2. Erneuerbare!M134
2. Erneuerbare,135,I,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung / Bruttostromerzeugung,91,0,GWh/a,,2. Erneuerbare!L135,2. Erneuerbare!M135
2. Erneuerbare,136,I,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung / Nutzungsgrad KWK-Abwärme effektiv,50,50,%,1.487,2. Erneuerbare!L136,2. Erneuerbare!M136
2. Erneuerbare,137,I,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung / Gebäudewärme (Endenergie),116.66666666666666,0,GWh/a,,2. Erneuerbare!L137,2. Erneuerbare!M137
2. Erneuerbare,138,,Biogene Brennstoffe (flüssig) / + / Biodiesel Gesamtaufkommen / davon Einsatz für Verstromung / Gebäudewärme (Endenergie),,,,,2. Erneuerbare!L138,2. Erneuerbare!M138
2. Erneuerbare,139,F,Biogene Brennstoffe (flüssig) / Bioethanol,,,,#REF!,2. Erneuerbare!L139,2. Erneuerbare!M139
2. Erneuerbare,140,G,Biogene Brennstoffe (flüssig) / Bioethanol / Anbaufläche Energiepfl. für Bioethanol,216200,0,ha,,2. Erneuerbare!L140,2. Erneuerbare!M140
2. Erneuerbare,141,H,Biogene Brennstoffe (flüssig) / Bioethanol / Anbaufläche Energiepfl. für Bioethanol / Bioethanol - Energieertrag (brutto),17.1171,13.69368,MWh/ha/a,1.499,2. Erneuerbare!L141,2. Erneuerbare!M141
2. Erneuerbare,142,F,Biogene Brennstoffe (flüssig) / + / Bioethanol aus eigenem Anbau,3700.71702,0,GWh/a,,2. Erneuerbare!L142,2. Erneuerbare!M142
2. Erneuerbare,143,,Biogene Brennstoffe (flüssig) / + / Bioethanol aus eigenem Anbau,,,,,2. Erneuerbare!L143,2. Erneuerbare!M143
2. Erneuerbare,144,F,Biogene Brennstoffe (flüssig) / + / Bioethanol aus Import (+) / Export (-),4991.28298,0,GWh/a,1.509,2. Erneuerbare!L144,2. Erneuerbare!M144
2. Erneuerbare,145,G,Biogene Brennstoffe (flüssig) / + / Bioethanol ges. - Mobile Anwendungen,8692,0,GWh/a,,2. Erneuerbare!L145,2. Erneuerbare!M145
2. Erneuerbare,146,,Biogene Brennstoffe (flüssig) / + / Bioethanol ges. - Mobile Anwendungen,,,,,2. Erneuerbare!L146,2. Erneuerbare!M146
2. Erneuerbare,147,E,Umgebungswärme (Wärmepumpe),,,,,2. Erneuerbare!L147,2. Erneuerbare!M147
2. Erneuerbare,148,G,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme,10108,136021.07481527407,GWh/a,1.519,2. Erneuerbare!L148,2. Erneuerbare!M148
2. Erneuerbare,149,H,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / davon Anlagen mit Luftkopplung,71.1605495181464,92.2279792746114,%,1.527,2. Erneuerbare!L149,2. Erneuerbare!M149
2. Erneuerbare,150,H,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Luft - Antriebsstromaufnahme,7192.908345294238,125449.48868973464,GWh/a,,2. Erneuerbare!L150,2. Erneuerbare!M150
2. Erneuerbare,151,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Luft - Antriebsstromaufnahme / WP-Luft - Jahresarbeitszahl,3.2355568361907507,4.2,,1.532,2. Erneuerbare!L151,2. Erneuerbare!M151
2. Erneuerbare,152,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Luft - Antriebsstromaufnahme / Nutzwärme (inkl. Antriebsstrom),23273.06376871027,526887.8524968856,GWh/a,,2. Erneuerbare!L152,2. Erneuerbare!M152
