model,code,label,origin,rationale
RenewableData,9.2.1.5.2.2,davon extern für Importwasserstoff,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.1,Stromaufnahme (Überschussphasen),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.1.2,Stromabgabe (Mangelphasen),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.2,Nutzungsgrad KWK-Abwärme effektiv,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.2.1,Gebäudewärme (Endenergie),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.3.4,Abregelung von Wind-/Solarstrom,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4,Stromangebot aus Erneuerbaren Energien (EE),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4.1,Stromangebot aus eigenen Erneuerb. E.,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4.2,Stromeinfuhr (Erneuerb.) aus dem Ausland,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4.3,Stromangebot aus Erneuerbaren E. (gesamt),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,9.4.3.3,Stromangebot Erneuerb. (Endenergie),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,8,Tiefengeothermie,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,8.1,Netzanschlussleistung (elektrisch),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,8.1.1,Stromerzeugung – Vollbetriebsstunden,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,8.1.2,Bruttostromerzeugung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7,Umgebungswärme (Wärmepumpe),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1,Wärmepumpen-Antriebsstromaufnahme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.2,WP-Luft – Antriebsstromaufnahme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.2.1,WP-Luft – Jahresarbeitszahl,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.2.2,Nutzwärme (inkl. Antriebsstrom),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.2.3,davon Wärmgewinn aus der Luft,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.3,davon Anlagen mit Erdreich-/Wasserkopplung,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4.2,Nutzwärme (inkl. Antriebsstrom),internal,no D.xlsx 1. parameter row or ancestor matches
