section,carrier_role,sector,view,excel_cell,engine_value,excel_value,drift,verdict
Gesamt,fossil,GW,status,M27,693521.5961587097,626577.392355041,0.096528,DRIFT
Gesamt,fossil,PW,status,P27,487097.4849593836,489759.04921263416,0.005434,PASS_LOOSE
Gesamt,fossil,MA,status,S27,704147.39575559,703189.7961235023,0.001360,PASS_LOOSE
Gesamt,fossil,total,status,V27,2041116.6740014153,1977736.619989554,0.031052,DRIFT
Strom,total,KLIK,ziel,H51,312753.30000000005,312753.36239118455,0.000000,PASS_COSMETIC
Strom,total,GW,ziel,K51,137950.4332889042,136021.07481527407,0.013986,DRIFT
Strom,total,PW,ziel,N51,357517.3609850011,357504.08569558925,0.000037,PASS_COSMETIC
Strom,total,MA,ziel,Q51,197521.76006286996,197549.4431027609,0.000140,PASS
Strom,total,total,ziel,T51,1005742.8543367753,1003827.9660048089,0.001904,PASS_LOOSE
Strom,renewable,KLIK,ziel,I52,312753.29999999993,374437.5035180524,0.164738,DRIFT
Strom,renewable,GW,ziel,L52,137950.43328890414,162848.42244467916,0.152891,DRIFT
Strom,renewable,PW,ziel,O52,357517.36098500097,428014.38271326304,0.164707,DRIFT
Strom,renewable,MA,ziel,R52,197521.76006286987,236511.99057057456,0.164855,DRIFT
Strom,renewable,total,ziel,U52,1005742.8543367749,1201812.2992465692,0.163145,DRIFT
Strom,fossil,KLIK,ziel,J53,1.1641532182693481e-10,0,0.000000,EXACT
Strom,fossil,GW,ziel,M53,5.820766091346741e-11,0,0.000000,EXACT
Strom,fossil,PW,ziel,P53,1.1641532182693481e-10,0,0.000000,EXACT
Strom,fossil,MA,ziel,S53,8.731149137020111e-11,0,0.000000,EXACT
Strom,fossil,total,ziel,V53,3.7834979593753815e-10,0,0.000000,EXACT
Brennstoff gasförmig,total,KLIK,ziel,H54,0,,inf,NO_MATCH
Brennstoff gasförmig,total,GW,ziel,K54,0.0,0,0.000000,EXACT
Brennstoff gasförmig,total,PW,ziel,N54,132735.25230220184,132747.16619173347,0.000090,PASS_COSMETIC
Brennstoff gasförmig,total,MA,ziel,Q54,191239.61347024117,191199.44330611525,0.000210,PASS
Brennstoff gasförmig,total,total,ziel,T54,323974.865772443,323946.6094978487,0.000087,PASS_COSMETIC
Brennstoff gasförmig,renewable,KLIK,ziel,I55,0,,inf,NO_MATCH
Brennstoff gasförmig,renewable,GW,ziel,L55,0.0,0,0.000000,EXACT
Brennstoff gasförmig,renewable,PW,ziel,O55,132746.51333457025,132752.72013742902,0.000047,PASS_COSMETIC
Brennstoff gasförmig,renewable,MA,ziel,R55,191217.70083976,191199.44330611522,0.000095,PASS_COSMETIC
Brennstoff gasförmig,renewable,total,ziel,U55,323964.21417433023,323952.16344354424,0.000037,PASS_COSMETIC
Brennstoff gasförmig,fossil,KLIK,ziel,J56,0,,inf,NO_MATCH
Brennstoff gasförmig,fossil,GW,ziel,M56,0,0,0.000000,EXACT
Brennstoff gasförmig,fossil,PW,ziel,P56,0,0,0.000000,EXACT
Brennstoff gasförmig,fossil,MA,ziel,S56,21.912630481179804,2.9103830456733704e-11,1.000000,DRIFT
Brennstoff gasförmig,fossil,total,ziel,V56,21.912630481179804,2.9103830456733704e-11,1.000000,DRIFT
Brennstoff flüssig,total,KLIK,ziel,H55,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,GW,ziel,K55,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,PW,ziel,N55,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,MA,ziel,Q55,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,total,ziel,T55,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,KLIK,ziel,I56,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,GW,ziel,L56,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,PW,ziel,O56,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,MA,ziel,R56,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,total,ziel,U56,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,KLIK,ziel,J57,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,GW,ziel,M57,NO_ENGINE_EQUIV,0,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,PW,ziel,P57,NO_ENGINE_EQUIV,0,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,MA,ziel,S57,NO_ENGINE_EQUIV,3.3408071992453183e-13,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,total,ziel,V57,NO_ENGINE_EQUIV,3.3408071992453183e-13,,NO_ENGINE_EQUIV
Brennstoff fest,total,KLIK,ziel,H58,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,GW,ziel,K58,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,PW,ziel,N58,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,MA,ziel,Q58,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,total,ziel,T58,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,KLIK,ziel,I59,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,GW,ziel,L59,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,PW,ziel,O59,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,MA,ziel,R59,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,total,ziel,U59,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,KLIK,ziel,J60,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,GW,ziel,M60,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,PW,ziel,P60,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,MA,ziel,S60,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,total,ziel,V60,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Wärme,total,KLIK,ziel,H60,0,,inf,NO_MATCH
Wärme,total,GW,ziel,K60,534147.1182902928,527517.7575261146,0.012411,DRIFT
Wärme,total,PW,ziel,N60,0.0,0,0.000000,EXACT
Wärme,total,MA,ziel,Q60,0,,inf,NO_MATCH
Wärme,total,total,ziel,T60,534147.1182902928,527517.7575261146,0.012411,DRIFT
Wärme,renewable,KLIK,ziel,I61,0,,inf,NO_MATCH
Wärme,renewable,GW,ziel,L61,501668.2110270086,503733.74158850405,0.004100,PASS_LOOSE
Wärme,renewable,PW,ziel,O61,0.0,0,0.000000,EXACT
Wärme,renewable,MA,ziel,R61,0,,inf,NO_MATCH
Wärme,renewable,total,ziel,U61,501668.2110270086,503733.74158850405,0.004100,PASS_LOOSE
Wärme,fossil,KLIK,ziel,J63,0,,inf,NO_MATCH
Wärme,fossil,GW,ziel,M63,0,0,0.000000,EXACT
Wärme,fossil,PW,ziel,P63,0,,inf,NO_MATCH
Wärme,fossil,MA,ziel,S63,0,,inf,NO_MATCH
Wärme,fossil,total,ziel,V63,0,0,0.000000,EXACT
Gesamt,total,KLIK,ziel,H64,312753.30000000005,312753.36239118455,0.000000,PASS_COSMETIC
Gesamt,total,GW,ziel,K64,672097.5515791969,663538.8323413887,0.012734,DRIFT
Gesamt,total,PW,ziel,N64,490252.6132872029,490251.25188732275,0.000003,PASS_COSMETIC
Gesamt,total,MA,ziel,Q64,388761.3735331111,388748.88640887616,0.000032,PASS_COSMETIC
Gesamt,total,total,ziel,T64,1863864.8383995108,1855292.3330287721,0.004599,PASS_LOOSE
Gesamt,renewable,KLIK,ziel,I65,312753.29999999993,374437.5035180524,0.164738,DRIFT
Gesamt,renewable,GW,ziel,L65,137950.43328890414,699077.1419264316,0.802668,DRIFT
Gesamt,renewable,PW,ziel,O65,357517.36098500097,560767.1028506921,0.362449,DRIFT
Gesamt,renewable,MA,ziel,R65,197521.76006286987,427711.43387668976,0.538189,DRIFT
Gesamt,renewable,total,ziel,U65,1005742.8543367749,2061993.1821718658,0.512247,DRIFT
Gesamt,fossil,KLIK,ziel,J66,1.1641532182693481e-10,0,0.000000,EXACT
Gesamt,fossil,GW,ziel,M66,0,0,0.000000,EXACT
Gesamt,fossil,PW,ziel,P66,0,0,0.000000,EXACT
Gesamt,fossil,MA,ziel,S66,21.91263048123801,2.9103830456733704e-11,1.000000,DRIFT
Gesamt,fossil,total,ziel,V66,21.912630481354427,2.9103830456733704e-11,1.000000,DRIFT
