db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
7.1,Wärmepumpen-Antriebsstromaufnahme,Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,148,Wärmepumpen-Antriebsstromaufnahme,2. Erneuerbare!L148,2. Erneuerbare!M148,
7.1.1,davon Anlagen mit Luftkopplung,Umgebungswärme,Wärmepumpe,%,2. Erneuerbare,149,davon Anlagen mit Luftkopplung,2. Erneuerbare!L149,2. Erneuerbare!M149,
7.1.2,WP-Luft – Antriebsstromaufnahme,Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,150,WP-Luft - Antriebsstromaufnahme,2. Erneuerbare!L150,2. Erneuerbare!M150,
7.1.2.1,WP-Luft – Jahresarbeitszahl,Umgebungswärme,Wärmepumpe,,2. Erneuerbare,151,WP-Luft - Jahresarbeitszahl,2. Erneuerbare!L151,2. Erneuerbare!M151,
7.1.2.2,Nutzwärme (inkl. Antriebsstrom),Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,152,Nutzwärme (inkl. Antriebsstrom),2. Erneuerbare!L152,2. Erneuerbare!M152,
7.1.2.3,davon Wärmgewinn aus der Luft,Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,153,davon Wärmgewinn aus der Luft,2. Erneuerbare!L153,2. Erneuerbare!M153,
7.1.3,davon Anlagen mit Erdreich-/Wasserkopplung,Umgebungswärme,Wärmepumpe,%,,,,,,NO_SECTION_MATCH: cat='Umgebungswärme' sub='Wärmepumpe' name='davon Anlagen mit Erdreich-/Wasserkopplung' (fallback section walk did not find a row)
7.1.4,Biogene Kraftstoffe (Wärme),EE,,MWh,,,,,,NO_SECTION_MATCH: cat='EE' sub='' name='Biogene Kraftstoffe (Wärme)' (fallback section walk did not find a row)
7.1.4.1,WP-Erdr./Wasser – Jahresarbeitszahl,Umgebungswärme,Wärmepumpe,,2. Erneuerbare,157,WP-Erdr.-/Wasser - Jahresarbeitszahl,2. Erneuerbare!L157,2. Erneuerbare!M157,
7.1.4.2,Nutzwärme (inkl. Antriebsstrom),Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,152,Nutzwärme (inkl. Antriebsstrom),2. Erneuerbare!L152,2. Erneuerbare!M152,
7.1.4.3,davon Wärmgewinn Erdreich/Grundwasser,Umgebungswärme,Wärmepumpe,GWh/a,2. Erneuerbare,159,davon Wärmgewinn Erdreich/Grundwasser,2. Erneuerbare!L159,2. Erneuerbare!M159,
7.1.4.3.1,Wärmeertrag Erdreich/Grundwasser,Umgebungswärme,Wärmepumpe,MWh/ha/a,2. Erneuerbare,160,/ Wärmeertrag Erdreich/Grundwasser,2. Erneuerbare!L160,2. Erneuerbare!M160,
7.1.4.3.2,Beanspruchte Entzugsfläche,Umgebungswärme,Wärmepumpe,ha,2. Erneuerbare,161,Beanspruchte Entzugsfläche,2. Erneuerbare!L161,2. Erneuerbare!M161,
7.1.4.3.3,Gebäude- & Freifläche (Siedlung),Umgebungswärme,Wärmepumpe,ha,2. Erneuerbare,162,/ Gebäude-&Freifläche (Siedlung),2. Erneuerbare!L162,2. Erneuerbare!M162,
7.1.4.3.4,Anteil beanspruchter Siedlungsfläche,Umgebungswärme,Wärmepumpe,%,2. Erneuerbare,163,Anteil beanspruchter Siedlungsfläche,2. Erneuerbare!L163,2. Erneuerbare!M163,
8,Tiefengeothermie,Tiefengeothermie,Geothermie,,2. Erneuerbare,165,Tiefengeothermie,2. Erneuerbare!L165,2. Erneuerbare!M165,
8.1,Netzanschlussleistung (elektrisch),Tiefengeothermie,Geothermie,MW,2. Erneuerbare,166,Netzanschlussleistung (elektrisch),2. Erneuerbare!L166,2. Erneuerbare!M166,
8.1.1,Stromerzeugung – Vollbetriebsstunden,Tiefengeothermie,Geothermie,h/a,2. Erneuerbare,167,Stromerzeugung - Vollbetriebsstunden,2. Erneuerbare!L167,2. Erneuerbare!M167,
8.1.2,Bruttostromerzeugung,Tiefengeothermie,Geothermie,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
