excel_sheet,excel_ref,cached_value,formula_text,row,col
5. Bilanz,C17,[17] ,"=""[""&D17&""] """,17,C
5. Bilanz,D17,17,=ROW(),17,D
5. Bilanz,G17,fossil     ,,17,G
5. Bilanz,M17,136478.33441230486,=K15-L16,17,M
5. Bilanz,P17,24796.57225436181,=N15-O16,17,P
5. Bilanz,S17,694448.3666881177,=Q15-R16,17,S
5. Bilanz,V17,855723.2733547844,=SUM(I17:S17),17,V
5. Bilanz,W17,= [15] - [16] ,"=""= ""&C15&""- ""&C16",17,W
5. Bilanz,A18,S.5.18,=AT$1&B18,18,A
5. Bilanz,B18,5.18,=AV$1&D18,18,B
5. Bilanz,C18,[18] ,"=""[""&D18&""] """,18,C
5. Bilanz,D18,18,=ROW(),18,D
5. Bilanz,G18,Verbr.Brennst.fest,,18,G
5. Bilanz,K18,149501.39419651052,='7. Verbrauch Status'!K17,18,K
5. Bilanz,N18,117624.0538292011,='7. Verbrauch Status'!N17,18,N
5. Bilanz,T18,267125.44802571164,=SUM(H18:S18),18,T
5. Bilanz,W18,[7.17],"=""[""&'7. Verbrauch Status'!B17&""]""",18,W
5. Bilanz,A19,S.5.19,=AT$1&B19,19,A
5. Bilanz,B19,5.19,=AV$1&D19,19,B
5. Bilanz,C19,[19] ,"=""[""&D19&""] """,19,C
5. Bilanz,D19,19,=ROW(),19,D
5. Bilanz,G19,erneuerbar,,19,G
5. Bilanz,L19,88254.46556022266,='2. Erneuerbare'!L243,19,L
5. Bilanz,O19,25697.16007897475,='2. Erneuerbare'!L253,19,O
5. Bilanz,U19,113951.6256391974,=SUM(J19:S19),19,U
5. Bilanz,W19,[2.243] [2.253],"=""[""&'2. Erneuerbare'!B243&""] [""&'2. Erneuerbare'!B253&""]""",19,W
5. Bilanz,A20,S.5.20,=AT$1&B20,20,A
5. Bilanz,B20,5.20,=AV$1&D20,20,B
5. Bilanz,C20,[20] ,"=""[""&D20&""] """,20,C
5. Bilanz,D20,20,=ROW(),20,D
5. Bilanz,G20,fossil     ,,20,G
5. Bilanz,M20,61246.92863628786,=K18-L19,20,M
5. Bilanz,P20,91926.89375022636,=N18-O19,20,P
5. Bilanz,V20,153173.82238651422,=SUM(I20:R20),20,V
5. Bilanz,W20,= [18] - [19] ,"=""= ""&C18&""- ""&C19",20,W
5. Bilanz,A21,S.5.21,=AT$1&B21,21,A
5. Bilanz,B21,5.21,=AV$1&D21,21,B
5. Bilanz,C21,[21] ,"=""[""&D21&""] """,21,C
5. Bilanz,D21,21,=ROW(),21,D
5. Bilanz,G21,Verbrauch Wärme,,21,G
5. Bilanz,K21,133580.49552011894,='7. Verbrauch Status'!K19,21,K
5. Bilanz,N21,143571.54256124247,='7. Verbrauch Status'!N19,21,N
5. Bilanz,T21,277152.03808136145,=SUM(H21:S21),21,T
5. Bilanz,W21,[7.20],"=""[""&'7. Verbrauch Status'!B20&""]""",21,W
5. Bilanz,AA21,GW Deut.(PJ),,21,AA
5. Bilanz,AB21,PW Deut.(PJ),,21,AB
5. Bilanz,A22,S.5.22,=AT$1&B22,22,A
5. Bilanz,B22,5.22,=AV$1&D22,22,B
5. Bilanz,C22,[22] ,"=""[""&D22&""] """,22,C
5. Bilanz,D22,22,=ROW(),22,D
5. Bilanz,G22,erneuerbar,,22,G
5. Bilanz,L22,32782.79317886679,='2. Erneuerbare'!L10+'2. Erneuerbare'!L91+'2. Erneuerbare'!L137+'2. Erneuerbare'!L153+'2. Erneuerbare'!L159,22,L
5. Bilanz,U22,32782.79317886679,=SUM(J22:S22),22,U
5. Bilanz,W22,[2.10] [2.91] [2.137] [2.153] [2.159],"=""[""&'2. Erneuerbare'!B10&""] [""&'2. Erneuerbare'!B91&""] [""&'2. Erneuerbare'!B137&""] [""&'2. Erneuerbare'!B153&""] [""&'2. Erneuerbare'!B159&""]""",22,W
5. Bilanz,A23,S.5.23,=AT$1&B23,23,A
5. Bilanz,B23,5.23,=AV$1&D23,23,B
5. Bilanz,C23,[23] ,"=""[""&D23&""] """,23,C
5. Bilanz,D23,23,=ROW(),23,D
5. Bilanz,G23,Abwärme,,23,G
5. Bilanz,L23,34175.311226581674,='2. Erneuerbare'!L87+'2. Erneuerbare'!L95+'2. Erneuerbare'!L112+'2. Erneuerbare'!L178,23,L
5. Bilanz,M23,48977.13218368661,=(K21-SUM(L22:L23))*AA23/(AA24+AA23),23,M
5. Bilanz,P23,143571.54256124247,=N21,23,P
5. Bilanz,U23,34175.311226581674,=L23+O23,23,U
5. Bilanz,V23,192548.67474492907,=M23+P23,23,V
5. Bilanz,W23,[2.87] [2.95] [2.112] [2.178],"=""[""&'2. Erneuerbare'!B87&""] [""&'2. Erneuerbare'!B95&""] [""&'2. Erneuerbare'!B112&""] [""&'2. Erneuerbare'!B178&""]""",23,W
5. Bilanz,AA23,275.9,,23,AA
5. Bilanz,AB23,[BS.4.114],,23,AB
5. Bilanz,A24,S.5.24,=AT$1&B24,24,A
5. Bilanz,B24,5.24,=AV$1&D24,24,B
5. Bilanz,C24,[24] ,"=""[""&D24&""] """,24,C
5. Bilanz,D24,24,=ROW(),24,D
5. Bilanz,G24,fossil ,,24,G
5. Bilanz,M24,17645.25893098387,=(K21-SUM(L22:L23))*AA24/(AA24+AA23),24,M
5. Bilanz,V24,17645.25893098387,=SUM(I24:R24),24,V
5. Bilanz,W24,siehe [30] ,"=""siehe ""&C30",24,W
5. Bilanz,AA24,99.4,,24,AA
5. Bilanz,AB24,[BS.4.112],,24,AB
5. Bilanz,A25,S.5.25,=AT$1&B25,25,A
5. Bilanz,B25,5.25,=AV$1&D25,25,B
5. Bilanz,C25,[25] ,"=""[""&D25&""] """,25,C
5. Bilanz,D25,25,=ROW(),25,D
5. Bilanz,G25,Verbrauch gesamt ,,25,G
5. Bilanz,H25,329214.0656749311,=SUM(H9:H21),25,H
5. Bilanz,K25,798867.2532382089,=SUM(K9:K21),25,K
5. Bilanz,N25,555394.5695538963,=SUM(N9:N21),25,N
5. Bilanz,Q25,753712.784407383,=SUM(Q9:Q21),25,Q
5. Bilanz,T25,2437188.6728744195,=SUM(T9:T21),25,T
5. Bilanz,W25,= [7.21],"=""= [""&'7. Verbrauch Status'!B21&""]""",25,W
5. Bilanz,Y25,2437188.6728744195,=SUM(H25:S25),25,Y
5. Bilanz,AA25,268277.77777777775,=965800/3.6,25,AA
5. Bilanz,A26,S.5.26,=AT$1&B26,26,A
5. Bilanz,B26,5.26,=AV$1&D26,26,B
5. Bilanz,C26,[26] ,"=""[""&D26&""] """,26,C
5. Bilanz,D26,26,=ROW(),26,D
5. Bilanz,G26,erneuerbar,,26,G
5. Bilanz,I26,171003.68337655472,=SUM(I10:I23),26,I
5. Bilanz,L26,172289.86088316783,=SUM(L10:L23),26,L
5. Bilanz,O26,65635.52034126216,=SUM(O10:O23),26,O
5. Bilanz,R26,50522.98828388071,=SUM(R10:R23),26,R
5. Bilanz,U26,459452.05288486544,=SUM(H26:R26),26,U
5. Bilanz,W26,[10] … [23] ,"=C10&""… ""&C23",26,W
5. Bilanz,Y26,2437188.6728744195,=U26+V27,26,Y
5. Bilanz,A27,S.5.27,=AT$1&B27,27,A
5. Bilanz,B27,5.27,=AV$1&D27,27,B
5. Bilanz,C27,[27] ,"=""[""&D27&""] """,27,C
5. Bilanz,D27,27,=ROW(),27,D
5. Bilanz,G27,fossil     ,,27,G
