day,field,our_value,excel_cell,excel_value,drift,verdict
196,verbrauch_promille,2.378807544448691,F352,2.378807544448691,0.0,EXACT
197,wind_promille,3.165186433017918,C353,3.1651864330179174,1.4030428199031418e-16,PASS_COSMETIC
197,solar_promille,4.921934986014752,D353,4.921934986014752,0.0,EXACT
197,heizung_abwaerm_promille,-2.739726027397261,E353,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
197,verbrauch_promille,2.164303683477516,F353,2.164303683477516,0.0,EXACT
198,wind_promille,2.9009707108964564,C354,2.9009707108964564,0.0,EXACT
198,solar_promille,4.985805787115497,D354,4.985805787115497,0.0,EXACT
198,heizung_abwaerm_promille,-2.739726027397261,E354,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
198,verbrauch_promille,2.6815339614600595,F354,2.6815339614600595,0.0,EXACT
199,wind_promille,1.067338827359804,C355,1.067338827359804,0.0,EXACT
199,solar_promille,5.329224492835538,D355,5.329224492835538,0.0,EXACT
199,heizung_abwaerm_promille,-2.739726027397261,E355,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
199,verbrauch_promille,2.7308554781065615,F355,2.7308554781065615,0.0,EXACT
200,wind_promille,0.8856323236209539,C356,0.8856323236209539,0.0,EXACT
200,solar_promille,4.398866074222442,D356,4.398866074222442,0.0,EXACT
200,heizung_abwaerm_promille,-2.739726027397261,E356,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
200,verbrauch_promille,2.701536449090226,F356,2.701536449090226,0.0,EXACT
201,wind_promille,1.4373100571780186,C357,1.4373100571780186,0.0,EXACT
201,solar_promille,4.831225051514956,D357,4.831225051514956,0.0,EXACT
201,heizung_abwaerm_promille,-2.739726027397261,E357,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
201,verbrauch_promille,2.7019046097899375,F357,2.7019046097899375,0.0,EXACT
202,wind_promille,0.7149270489997854,C358,0.7149270489997854,0.0,EXACT
202,solar_promille,3.495953271955358,D358,3.495953271955358,0.0,EXACT
202,heizung_abwaerm_promille,-2.739726027397261,E358,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
202,verbrauch_promille,2.616009004166318,F358,2.616009004166318,0.0,EXACT
203,wind_promille,1.710682343681683,C359,1.710682343681683,0.0,EXACT
203,solar_promille,4.620671371100575,D359,4.620671371100575,0.0,EXACT
203,heizung_abwaerm_promille,-2.739726027397261,E359,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
203,verbrauch_promille,2.216315941380365,F359,2.216315941380365,0.0,EXACT
204,wind_promille,3.58226337288602,C360,3.58226337288602,0.0,EXACT
204,solar_promille,3.660912107536342,D360,3.660912107536342,0.0,EXACT
204,heizung_abwaerm_promille,-2.739726027397261,E360,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
204,verbrauch_promille,2.1423648016626653,F360,2.1423648016626653,0.0,EXACT
205,wind_promille,2.8103028039123585,C361,2.8103028039123585,0.0,EXACT
205,solar_promille,3.2519932435446193,D361,3.2519932435446193,0.0,EXACT
205,heizung_abwaerm_promille,-2.739726027397261,E361,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
205,verbrauch_promille,2.6689908247427403,F361,2.6689908247427403,0.0,EXACT
206,wind_promille,1.9237446342765496,C362,1.9237446342765498,1.154231185203717e-16,PASS_COSMETIC
206,solar_promille,3.2100463483772654,D362,3.2100463483772654,0.0,EXACT
206,heizung_abwaerm_promille,-2.739726027397261,E362,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
206,verbrauch_promille,2.676227859031281,F362,2.676227859031281,0.0,EXACT
207,wind_promille,2.146137414785822,C363,2.146137414785822,0.0,EXACT
207,solar_promille,4.01071698816803,D363,4.01071698816803,0.0,EXACT
207,heizung_abwaerm_promille,-2.739726027397261,E363,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
207,verbrauch_promille,2.6579623907261625,F363,2.6579623907261625,0.0,EXACT
208,wind_promille,2.4037088302124463,C364,2.4037088302124463,0.0,EXACT
208,solar_promille,2.259411484970282,D364,2.259411484970282,0.0,EXACT
208,heizung_abwaerm_promille,-2.739726027397261,E364,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
208,verbrauch_promille,2.682801767074348,F364,2.682801767074348,0.0,EXACT
209,wind_promille,1.6908460488928387,C365,1.6908460488928387,0.0,EXACT
209,solar_promille,3.1446593399091203,D365,3.1446593399091203,0.0,EXACT
209,heizung_abwaerm_promille,-2.739726027397261,E365,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
209,verbrauch_promille,2.633378651184305,F365,2.633378651184305,0.0,EXACT
210,wind_promille,1.7366886028048127,C366,1.7366886028048127,0.0,EXACT
